time,V(vin_12v),V(vsense_adc),V(vsense_raw)
2.815000000000005e-03,1.200000000000000e+01,2.261337504294836e+00,2.274358422920431e+00
2.825000000000005e-03,1.200000000000000e+01,2.264094735310726e+00,2.276991788234510e+00
2.835000000000005e-03,1.200000000000000e+01,2.266825737274377e+00,2.279600102808920e+00
2.845000000000005e-03,1.200000000000000e+01,2.269530759698135e+00,2.282183604946928e+00
2.855000000000005e-03,1.200000000000000e+01,2.272210049720781e+00,2.284742530684863e+00
2.865000000000005e-03,1.200000000000000e+01,2.274863852130105e+00,2.287277113813684e+00
2.875000000000005e-03,1.200000000000000e+01,2.277492409385279e+00,2.289787585900337e+00
2.885000000000005e-03,1.200000000000000e+01,2.280095961638999e+00,2.292274176308913e+00
2.895000000000005e-03,1.200000000000000e+01,2.282674746759433e+00,2.294737112221602e+00
2.905000000000005e-03,1.200000000000000e+01,2.285229000351950e+00,2.297176618659450e+00
2.915000000000005e-03,1.200000000000000e+01,2.287758955780647e+00,2.299592918502917e+00
2.925000000000005e-03,1.200000000000000e+01,2.290264844189672e+00,2.301986232512244e+00
2.935000000000005e-03,1.200000000000000e+01,2.292746894524337e+00,2.304356779347615e+00
