time,V(isense_adc),V(isense_raw),V(shunt_node)
9.735586217260984e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.740586217260984e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.745586217260984e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.750586217260984e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.755586217260984e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.760586217260983e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.765586217260983e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.770586217260983e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.775586217260983e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.780586217260983e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.785586217260982e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.790586217260982e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.795586217260982e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.800586217260982e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.805586217260982e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.810586217260981e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.815586217260981e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.820586217260981e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.825586217260981e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.830586217260981e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.835586217260980e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.840586217260980e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.845586217260980e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.850586217260980e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.855586217260980e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.860586217260979e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.865586217260979e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.870586217260979e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.875586217260979e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
