time,V(sw),I(Rmotor),I(Dfly)
7.500065529654399e-05,2.005996734495700e+00,3.163976963402329e-01,1.032066323807257e-03
7.505000000000001e-05,2.035587712024687e+00,3.166402051964756e-01,-9.594819762881457e-04
7.510000000000001e-05,1.254346863585696e+01,3.166223974075759e-01,3.166223973823534e-01
7.510114523872378e-05,1.254732729304870e+01,3.166159686069236e-01,3.166159685815728e-01
7.510343571617132e-05,1.254749855877082e+01,3.166031110526393e-01,3.166031110273693e-01
7.510801667106638e-05,1.254732477954308e+01,3.165773973639777e-01,3.165773973388397e-01
7.511241236018435e-05,1.254747365007912e+01,3.165527254304020e-01,3.165527254050815e-01
7.512120373842030e-05,1.254731619681612e+01,3.165033868069965e-01,3.165033867816902e-01
7.513878649489220e-05,1.254745421465232e+01,3.164047305491611e-01,3.164047305239137e-01
7.517395200783599e-05,1.254727655302572e+01,3.162075019757269e-01,3.162075019505295e-01
7.524428303372357e-05,1.254737365239867e+01,3.158133804043078e-01,3.158133803792751e-01
7.538494508549873e-05,1.254711572993204e+01,3.150264776582455e-01,3.150264776332889e-01
7.566626918904905e-05,1.254705306928134e+01,3.134580185512661e-01,3.134580185260205e-01
7.622891739614969e-05,1.254647362777054e+01,3.103423663486315e-01,3.103423663233684e-01
7.722891739614969e-05,1.254587144385120e+01,3.048741541288291e-01,3.048741541036648e-01
7.822891739614969e-05,1.254496000418424e+01,2.994934951140405e-01,2.994934950888961e-01
7.922891739614968e-05,1.254437106989808e+01,2.941989929118440e-01,2.941989928866917e-01
8.022891739614968e-05,1.254346240834947e+01,2.889892784916158e-01,2.889892784664028e-01
8.122891739614968e-05,1.254288599795658e+01,2.838629997192287e-01,2.838629996939446e-01
8.222891739614967e-05,1.254197803325885e+01,2.788188317922232e-01,2.788188317670404e-01
8.322891739614967e-05,1.254141405412501e+01,2.738554651160892e-01,2.738554650907687e-01
8.422891739614967e-05,1.254050620855482e+01,2.689716169933772e-01,2.689716169681233e-01
8.522891739614967e-05,1.253995457702480e+01,2.641660190210900e-01,2.641660189958728e-01
8.622891739614966e-05,1.253904628460896e+01,2.594374292787117e-01,2.594374292534596e-01
8.722891739614966e-05,1.253850693338514e+01,2.547846192454766e-01,2.547846192202741e-01
8.822891739614966e-05,1.253759762188053e+01,2.502063865005293e-01,2.502063864753623e-01
8.922891739614965e-05,1.253707050013950e+01,2.457015411370550e-01,2.457015411117780e-01
9.022891739614965e-05,1.253615958975707e+01,2.412689189976276e-01,2.412689189723594e-01
9.122891739614965e-05,1.253564466339877e+01,2.369073675607348e-01,2.369073675355793e-01
9.222891739614965e-05,1.253473156567475e+01,2.326157597358364e-01,2.326157597105549e-01
9.322891739614964e-05,1.253422881761359e+01,2.283929791964278e-01,2.283929791712680e-01
9.422891739614964e-05,1.253331293422774e+01,2.242379347607848e-01,2.242379347356405e-01
9.522891739614964e-05,1.253282236473012e+01,2.201495451442265e-01,2.201495451189928e-01
9.622891739614963e-05,1.253190308626233e+01,2.161267539530823e-01,2.161267539279166e-01
9.722891739614963e-05,1.253142471333342e+01,2.121685138272144e-01,2.121685138019913e-01
9.822891739614963e-05,1.253050141795291e+01,2.082738020764190e-01,2.082738020511599e-01
9.922891739614963e-05,1.253003527777622e+01,2.044416041825570e-01,2.044416041573527e-01
1.000000000000000e-04,1.252926571440259e+01,2.015287500055877e-01,2.015287499804685e-01
1.000500000000000e-04,1.344074830116135e+00,2.016206578338241e-01,-4.439819379722376e-02
1.000507011080556e-04,1.144950763198277e+00,2.016260066680852e-01,-1.668706169638323e-02
1.000521033241669e-04,1.002297461804992e+00,2.016368039752608e-01,4.811091885623675e-03
1.000549077563895e-04,1.051218482765977e+00,2.016585289585985e-01,-2.779394667866697e-03
1.000583679824272e-04,1.021917257151847e+00,2.016852989564364e-01,1.792135190923361e-03
1.000636256492945e-04,1.041485046573835e+00,2.017259975195019e-01,-1.360260902152355e-03
1.000741409830291e-04,1.025855621221618e+00,2.018073637247361e-01,1.184378461558389e-03
1.000948509182594e-04,1.041821893999994e+00,2.019675707922537e-01,-1.095557788550749e-03
1.001362707887201e-04,1.030010806311751e+00,2.022877397305782e-01,1.061906466195417e-03
1.002191105296414e-04,1.047794473044154e+00,2.029271941830133e-01,-1.037097461580316e-03
1.003847900114839e-04,1.042643336515968e+00,2.042025185779717e-01,1.033350944941169e-03
1.007161489751690e-04,1.072676497105375e+00,2.067389398067613e-01,-1.022862758026655e-03
1.013788669025393e-04,1.092322814422552e+00,2.117552752845114e-01,1.026259593901457e-03
1.023788669025393e-04,1.156557105533183e+00,2.191831125694358e-01,-1.018802926076035e-03
1.033788669025393e-04,1.192958034866581e+00,2.264431221557630e-01,1.023018279417975e-03
1.043788669025393e-04,1.258254097658860e+00,2.335374414118793e-01,-1.015400823618506e-03
1.053788669025393e-04,1.294286410230041e+00,2.404688834092747e-01,1.019592034365857e-03
1.063788669025393e-04,1.361018006974702e+00,2.472393215319881e-01,-1.011773826062878e-03
1.073788669025393e-04,1.396876553007277e+00,2.538513978102543e-01,1.015962617243460e-03
1.083788669025393e-04,1.465360009538331e+00,2.603067570393446e-01,-1.007904138137228e-03
1.093788669025393e-04,1.501133364058884e+00,2.666079292681571e-01,1.012101209112437e-03
1.103788669025393e-04,1.571768152769560e+00,2.727562948655587e-01,-1.003752410233538e-03
1.113788669025393e-04,1.607573538680698e+00,2.787542636645466e-01,1.007972041575655e-03
1.123788669025393e-04,1.680881314164173e+00,2.846028971064954e-01,-9.992674080860908e-04
1.133788669025393e-04,1.716875615634035e+00,2.903044721069900e-01,1.003528878524840e-03
1.143788669025393e-04,1.793560976942981e+00,2.958596476053800e-01,-9.943797515132857e-04
1.153788669025393e-04,1.829963496719527e+00,3.012705451385296e-01,9.987101883313088e-04
1.163788669025393e-04,1.911019540531565e+00,3.065372868944060e-01,-9.889914253857768e-04
1.173788669025393e-04,1.948154228417811e+00,3.116617981112220e-01,9.934310911630106e-04
1.183788669025393e-04,2.035060971499331e+00,3.166434343324895e-01,-9.829559910379260e-04
1.193788669025393e-04,2.073443320504308e+00,3.214838447741706e-01,9.875691562477584e-04
1.203788669025392e-04,2.168582235900593e+00,3.261811877331021e-01,-9.760370701794585e-04
1.213788669025392e-04,2.209125984372254e+00,3.307366622507432e-01,9.809378684710879e-04
1.223788669025393e-04,2.320012496636154e+00,3.351447089187864e-01,-9.673992880188109e-04
1.233788669025393e-04,2.364408640263024e+00,3.394057572333183e-01,9.728249733953476e-04
1.243788669025392e-04,2.497634216965531e+00,3.435110596126218e-01,-9.564232390513183e-04
1.250500000000000e-04,2.516764350635916e+00,3.461787714811819e-01,9.599231677093201e-04
1.251000000000000e-04,1.254800820523443e+01,3.461252032394107e-01,3.461252032141360e-01
1.251004710751652e-04,1.255114926318556e+01,3.461223346463601e-01,3.461223346211995e-01
1.251014132254956e-04,1.255144269105627e+01,3.461165973712667e-01,3.461165973459401e-01
1.251032975261564e-04,1.255117796599016e+01,3.461051230543602e-01,3.461051230291190e-01
1.251053496805011e-04,1.255142647047586e+01,3.460926270138590e-01,3.460926269886855e-01
1.251094539891906e-04,1.255117828141428e+01,3.460676361638939e-01,3.460676361386916e-01
1.251176626065696e-04,1.255141731448401e+01,3.460176594241569e-01,3.460176593988606e-01
1.251340798413276e-04,1.255116073160308e+01,3.459177257796189e-01,3.459177257543899e-01
1.251669143108435e-04,1.255137774338260e+01,3.457179378739647e-01,3.457179378487396e-01
1.252325832498755e-04,1.255108382152044e+01,3.453186793183145e-01,3.453186792930296e-01
1.253639211279393e-04,1.255122386600511e+01,3.445214295647029e-01,3.445214295392773e-01
1.256265968840671e-04,1.255077543211148e+01,3.429319862859762e-01,3.429319862609859e-01
1.261519483963225e-04,1.255061128545021e+01,3.397732177269243e-01,3.397732177018398e-01
1.271519483963225e-04,1.254958662409709e+01,3.338339249234241e-01,3.338339248982081e-01
1.281519483963225e-04,1.254906270120943e+01,3.279896805988161e-01,3.279896805734950e-01
1.291519483963225e-04,1.254803748777618e+01,3.222389762284079e-01,3.222389762032662e-01
1.301519483963225e-04,1.254753566348830e+01,3.165803159963661e-01,3.165803159711444e-01
1.311519483963225e-04,1.254650886185587e+01,3.110122395828927e-01,3.110122395576909e-01
1.321519483963225e-04,1.254602378489603e+01,3.055333007522084e-01,3.055333007271344e-01
1.331519483963225e-04,1.254499467983348e+01,3.001420856779921e-01,3.001420856526948e-01
1.341519483963225e-04,1.254452648070272e+01,2.948371934603192e-01,2.948371934352778e-01
1.351519483963225e-04,1.254349435914646e+01,2.896172553075731e-01,2.896172552823018e-01
1.361519483963225e-04,1.254304308487862e+01,2.844809142625425e-01,2.844809142372640e-01
1.371519483963225e-04,1.254200722324925e+01,2.794268451611057e-01,2.794268451359017e-01
1.381519483963225e-04,1.254157294648020e+01,2.744537335859741e-01,2.744537335607689e-01
1.391519483963225e-04,1.254053260926265e+01,2.695602966386212e-01,2.695602966133492e-01
1.401519483963225e-04,1.254011542655753e+01,2.647452610836075e-01,2.647452610583301e-01
1.411519483963225e-04,1.253906986490350e+01,2.600073849699723e-01,2.600073849446716e-01
1.421519483963225e-04,1.253866989740250e+01,2.553454349282104e-01,2.553454349030559e-01
1.431519483963225e-04,1.253761834766951e+01,2.507582086794339e-01,2.507582086541404e-01
1.441519483963225e-04,1.253723574175337e+01,2.462445114449644e-01,2.462445114196754e-01
1.451519483963225e-04,1.253617742397022e+01,2.418031793837427e-01,2.418031793584774e-01
1.461519483963225e-04,1.253581235199883e+01,2.374330550722756e-01,2.374330550471271e-01
1.471519483963225e-04,1.253474646825006e+01,2.331330119130971e-01,2.331330118879649e-01
1.481519483963225e-04,1.253439912937779e+01,2.289019286404251e-01,2.289019286152438e-01
1.491519483963224e-04,1.253332486209986e+01,2.247387147449631e-01,2.247387147197344e-01
1.500000000000000e-04,1.253310037713647e+01,2.212604911342184e-01,2.212604911092342e-01
1.500500000000000e-04,1.479968441555672e+00,2.213331269536453e-01,-4.170155157267263e-02
1.500506728882548e-04,1.286965488034116e+00,2.213379527013922e-01,-1.694415885326261e-02
1.500520186647644e-04,1.137763752446170e+00,2.213477042511819e-01,3.932955514707182e-03
1.500547102177835e-04,1.179509885127568e+00,2.213673509887795e-01,-2.117506648851020e-03
1.500582194963987e-04,1.155923045394646e+00,2.213929335824482e-01,1.329814057258183e-03
1.500631833095978e-04,1.171397393232903e+00,2.214291373454602e-01,-9.658724060068735e-04
1.500731109359958e-04,1.159654824354165e+00,2.215015177659179e-01,8.256368200276754e-04
1.500929661887920e-04,1.171744363083799e+00,2.216462406393905e-01,-7.549952025298623e-04
1.501326766943844e-04,1.163516483976861e+00,2.219354718756048e-01,7.304572655231212e-04
1.502120977055691e-04,1.177550072956460e+00,2.225131529270529e-01,-7.098990755727286e-04
1.503709397279386e-04,1.175706905426904e+00,2.236653485300734e-01,7.084520327493848e-04
1.506886237726775e-04,1.201631423173890e+00,2.259571611775125e-01,-6.989513884425591e-04
1.513239918621554e-04,1.223867782369815e+00,2.304907910453178e-01,7.030036312993815e-04
